date,product,category,quantity,unit_price,region
2026-01-05,Laptop,Electronics,3,1200.00,North
2026-01-06,Mouse,Electronics,25,25.50,North
2026-01-07,Desk,Furniture,5,450.00,South
2026-01-08,Laptop,Electronics,2,1200.00,South
2026-01-09,Chair,Furniture,15,220.00,North
2026-01-10,Monitor,Electronics,8,350.00,West
2026-01-11,Desk,Furniture,3,450.00,North
2026-01-12,Keyboard,Electronics,20,75.00,East
2026-01-13,Mouse,Electronics,30,25.50,South
2026-01-14,Chair,Furniture,10,220.00,West
2026-01-15,Laptop,Electronics,1,1200.00,East
2026-01-16,Monitor,Electronics,12,350.00,North
2026-01-17,Keyboard,Electronics,15,75.00,South
2026-01-18,Desk,Furniture,8,450.00,West
2026-01-19,Chair,Furniture,20,220.00,East
2026-01-20,Mouse,Electronics,40,25.50,West
2026-01-21,Laptop,Electronics,5,1200.00,West
2026-01-22,Monitor,Electronics,6,350.00,South
2026-01-23,Keyboard,Electronics,10,75.00,North
2026-01-24,Chair,Furniture,12,220.00,South
2026-01-25,Tablet,Electronics,7,450.00,North
2026-01-26,Phone,Electronics,9,800.00,East
2026-01-27,Tablet,Electronics,4,450.00,West
2026-01-28,Headphones,Electronics,18,85.00,South
2026-01-29,Phone,Electronics,11,800.00,North
2026-01-30,Headphones,Electronics,22,85.00,East
2026-02-01,Laptop,Electronics,4,1200.00,East
2026-02-02,Desk,Furniture,6,450.00,South
2026-02-03,Chair,Furniture,18,220.00,North
2026-02-04,Mouse,Electronics,35,25.50,East
2026-02-05,Monitor,Electronics,10,350.00,North
2026-02-06,Keyboard,Electronics,25,75.00,West
2026-02-07,Phone,Electronics,7,800.00,South
2026-02-08,Tablet,Electronics,5,450.00,East
2026-02-09,Headphones,Electronics,15,85.00,North
2026-02-10,Laptop,Electronics,3,1200.00,South
